date_only,bidder_name,pub_name,pub_id,endpoint,pub_type,device_type,auctions,impressions,spend
2025-02-10,DV360,Zynga Inc,513693,SOVRN Direct Non-CTV - No Throttle,publisher,APP,53638,53638,14.1
2025-02-10,Xandr,OnCore Digitial Inc.,253233,OnCore ISO,publisher,CTV,30163,30163,112.38
2025-02-10,TaurusX,The Brave,273050,Mobile App - Tree,publisher,APP,7042,7042,5.28
2025-02-10,Krush Media,Multimerica Media,512220,CTV - Priority Bundles,publisher,CTV,35027,35027,323.74
2025-02-10,The Trade Desk,Paramount,205858,SOVRN - Direct Pubs - No Throttle,publisher,APP,32013,32013,39.5
2025-02-10,Equativ,TCL,466180,SOVRN Direct - CTV Only TREE,publisher,CTV,7682,7682,87.56
2025-02-10,Madhive,47 Samurai,448926,SOVRN Direct ALLOWLIST - Disable Throttle,publisher,CTV,81623,81623,287.18
2025-02-10,BidSwitch,Griffin News,523907,SOVRN Direct - TREE,publisher,CTV,209,209,1.95
2025-02-10,The Trade Desk,Fox News,492131,Non-CTV Devices - Floor Markup 25%,publisher,OTHER,4388,4388,3.82
2025-02-10,Equativ,Zynga Inc,513693,In-App Direct TREE,publisher,APP,10662,10662,1.33
2025-02-10,DV360,Microsoft Casual Games,475391,SOVRN Direct Non-CTV - No Throttle,publisher,APP,5742,5742,1.41
2025-02-10,Epsilon,SportX,512157,Epsilon Sovrn Direct - Sequoia,publisher,CTV,3068,3068,35.69
2025-02-10,PubMatic,Wurl,470485,SOVRN Direct - TREE SPLINE,publisher,CTV,2277,2277,43.2
2025-02-10,UnrulyX,Graham Media Group,227590,SOVRN - Direct All - TREE,publisher,APP,251,251,0.1
2025-02-10,Motorik,Aloha-ads,523648,SOVRN Direct All - Sequoia,publisher,APP,309,309,0.66
2025-02-10,The Trade Desk,Microsoft Casual Games,475391,SOVRN - Direct Pubs - No Throttle,publisher,DESKTOP,1764,1764,1.14
2025-02-10,Centro,The Brave,273050,Centro - West In East,publisher,APP,1979,1979,2.22
2025-02-10,Simpli.fi,Fox News,492131,High Prio ISO,publisher,OTHER,207,207,0.28
2025-02-10,Centro,A+E Networks,504679,Centro - West In East,publisher,CTV,60,60,1.38
2025-02-10,Epom Services,Quizlet,264549,SOVRN Direct All,publisher,APP,48,48,0.02
2025-02-10,Centro,Tegna,257772,SOVRN Direct - TREE,publisher,CTV,219,219,1.74
2025-02-10,Xandr,Multimerica Media,512220,SOVRN Direct - All - Sequoia,publisher,CTV,25,25,0.36
2025-02-10,Equativ,Future Today,444732,SOVRN Direct - CTV Only TREE,publisher,CTV,60,60,1.1
2025-02-10,Simpli.fi,Syncbak,466272,High Prio ISO,publisher,DESKTOP,177,177,1.2
2025-02-10,Xandr,Tvisionary,501771,SOVRN Direct - All - Sequoia,publisher,APP,216,216,0.58
2025-02-10,Simpli.fi,WotchoTV,514064,CTV Direct Banner & Video,publisher,CTV,274,274,3.96
2025-02-10,Centro,"Vizio, Inc.",472819,Centro - West In East,publisher,CTV,56,56,0.93
2025-02-10,Centro,Syncbak,466272,Centro - West In East,publisher,APP,153,153,1.25
2025-02-10,UnrulyX,Nexstar Media Group,262877,SOVRN - Direct All - TREE,publisher,APP,238,238,0.2
2025-02-10,Madhive,47 Samurai,448926,SOVRN Direct ALLOWLIST - Disable Throttle,publisher,DESKTOP,124,124,0.44
2025-02-10,UnrulyX,Weatherbug TAM,513394,SOVRN - Direct All - TREE,publisher,APP,135,135,0.17
2025-02-10,Beeswax,DailyMail Online,99835,SOVRN Direct - All TREE,publisher,APP,277,277,0.29
2025-02-10,Equativ,Play Works Ltd,517910,SOVRN Direct - CTV Only TREE,publisher,CTV,287,287,3.18
2025-02-10,Beeswax,Amagi,499619,SOVRN Direct - All Mobile - Fillrate,publisher,APP,54,54,0.62
2025-02-10,Centro,LG Ad Solutions,489566,SOVRN Direct - TREE,publisher,CTV,374,374,5.14
2025-02-10,Simpli.fi,47 Samurai,448926,CTV Direct Banner & Video,publisher,OTHER,3,3,0.02
2025-02-10,The Trade Desk,Barstool Sports,241659,SOVRN - Direct Pubs - No Throttle,publisher,DESKTOP,82,82,0.11
2025-02-10,Xandr,Wurl,470485,SOVRN Direct - All - Sequoia,publisher,CTV,49,49,1.1
2025-02-10,Epsilon,Vid20,467350,Epsilon Sovrn Direct - Sequoia,publisher,CTV,3,3,0.04
2025-02-10,The Trade Desk,Sinclair Media Group,472580,SOVRN - Direct Pubs - No Throttle,publisher,APP,9,9,0.07
2025-02-10,Beeswax,Twist Digital,271355,SOVRN Direct - All TREE,publisher,APP,18,18,0.06
2025-02-10,Illumin,A+E Networks,504679,SOVRN Direct - CTV,publisher,CTV,18,18,0.35
2025-02-10,Centro,"ODK Media, Inc.",197688,ADD NEW PUBLISHERS HERE - TREE,publisher,APP,25,25,0.09
2025-02-10,RTB House,VarageSale,55349,SOVRN Direct - All - Tree,publisher,APP,9,9,0.0
